epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,769.643,1.75892,2.98352,1.76739,0.42032,0.18595,0.1667,0.0741,2.02435,3.8637,2.06075,0.000301405,0.000301405,0.000301405
2,1516.28,1.91245,2.59015,1.91772,0.39968,0.19717,0.12428,0.05152,2.00875,3.53211,2.04032,0.000544569,0.000544569,0.000544569
3,2229.7,1.96889,2.50028,1.9669,0.67069,0.16154,0.13082,0.05329,2.16078,2.92841,2.12815,0.000727739,0.000727739,0.000727739
4,3009.08,1.90174,2.38861,1.90063,0.48651,0.25465,0.20275,0.09069,1.87206,2.5388,1.93751,0.000639027,0.000639027,0.000639027
5,3899.47,1.77453,2.23906,1.80778,0.54544,0.2847,0.29572,0.15738,1.90773,2.29657,1.94784,0.000549036,0.000549036,0.000549036
6,4779.33,1.7248,2.14689,1.76414,0.2501,0.35378,0.25493,0.12843,1.67521,2.14675,1.68573,0.000459045,0.000459045,0.000459045
7,5574.73,1.58534,1.93151,1.65457,0.39137,0.36608,0.3562,0.19481,1.55337,1.91816,1.57526,0.000369054,0.000369054,0.000369054
8,6540.49,1.5307,1.78712,1.59102,0.68779,0.33363,0.38847,0.22953,1.53771,1.77671,1.55513,0.000279063,0.000279063,0.000279063
9,7519.62,1.43808,1.62555,1.54309,0.57791,0.43204,0.49024,0.27817,1.45876,1.65157,1.48513,0.000189072,0.000189072,0.000189072
10,8415.8,1.38275,1.52387,1.49131,0.47927,0.52975,0.52808,0.32655,1.39108,1.4982,1.47158,9.9081e-05,9.9081e-05,9.9081e-05
