epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3595,1.76635,3.56931,1.73445,0.64942,0.1756,0.20774,0.10877,1.81544,3.29571,1.72228,0.000301405,0.000301405,0.000301405
2,109.779,1.68455,2.8748,1.64982,0.40205,0.25349,0.24033,0.12139,1.77972,2.89862,1.66483,0.000544569,0.000544569,0.000544569
3,144.632,1.70921,2.6457,1.66092,0.46757,0.28697,0.31679,0.17223,1.6593,2.56092,1.60422,0.000727739,0.000727739,0.000727739
4,179.554,1.68107,2.41129,1.64182,0.35556,0.35791,0.31449,0.16686,1.62186,2.40272,1.55943,0.000639027,0.000639027,0.000639027
5,215.158,1.59862,2.2108,1.58261,0.53048,0.35864,0.36079,0.21162,1.60269,2.10052,1.52873,0.000549036,0.000549036,0.000549036
6,251.119,1.56127,2.06629,1.55251,0.68212,0.40034,0.43869,0.24161,1.50438,1.97756,1.45969,0.000459045,0.000459045,0.000459045
7,287.224,1.47989,1.91579,1.50552,0.57649,0.44692,0.45875,0.26382,1.48448,1.83386,1.41081,0.000369054,0.000369054,0.000369054
8,323.185,1.43643,1.78846,1.45181,0.53138,0.44634,0.47885,0.27723,1.48363,1.7656,1.43691,0.000279063,0.000279063,0.000279063
9,360.122,1.38572,1.67284,1.42877,0.58083,0.51004,0.54049,0.30484,1.42676,1.70193,1.35967,0.000189072,0.000189072,0.000189072
10,396.956,1.34145,1.59257,1.39332,0.596,0.45489,0.5186,0.31727,1.36556,1.61697,1.33341,9.9081e-05,9.9081e-05,9.9081e-05
