epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.414,2.12722,4.08727,1.96443,0.01141,0.2792,0.02342,0.01386,1.94945,4.07805,1.90317,0.00012221,0.00012221,0.00012221
2,48.8671,1.96182,3.93026,1.87078,0.00911,0.31109,0.03199,0.02139,1.82154,4.03706,1.83633,0.000230233,0.000230233,0.000230233
3,52.3432,1.96884,3.614,1.86313,0.00769,0.3418,0.02201,0.01081,1.83302,3.95179,1.81057,0.000311858,0.000311858,0.000311858
4,55.825,1.87438,3.40139,1.77306,0.0072,0.347,0.02276,0.01079,1.79086,3.76435,1.7392,0.000367086,0.000367086,0.000367086
5,59.214,1.82516,3.12698,1.7834,0.02448,0.13317,0.03131,0.01672,1.76881,3.45723,1.70378,0.000395916,0.000395916,0.000395916
6,62.6933,1.84779,3.13736,1.77523,0.70843,0.03768,0.03848,0.01863,1.76119,3.25759,1.67413,0.000398349,0.000398349,0.000398349
7,66.4217,1.75807,2.92884,1.72791,0.70684,0.05091,0.0488,0.02511,1.72022,3.08231,1.62924,0.000374385,0.000374385,0.000374385
8,70.0819,1.81048,2.90895,1.75467,0.706,0.05833,0.07025,0.03894,1.71226,3.01018,1.62616,0.000324023,0.000324023,0.000324023
9,73.7385,1.79714,3.11556,1.74647,0.70312,0.08001,0.10121,0.05679,1.67476,2.89957,1.6081,0.000231088,0.000231088,0.000231088
10,77.4057,1.70993,2.80698,1.70158,0.69361,0.0906,0.11348,0.065,1.64785,2.85294,1.59056,0.000121099,0.000121099,0.000121099
