epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1651,1.59017,3.14486,1.57626,0.43495,0.31491,0.17975,0.08946,1.74312,3.72126,1.64603,0.000301405,0.000301405,0.000301405
2,109.89,1.59498,2.45461,1.55337,0.33054,0.26592,0.20683,0.10271,1.83933,3.18958,1.90584,0.000598422,0.000598422,0.000598422
3,161.481,1.60959,2.33843,1.56771,0.39451,0.32166,0.29504,0.13006,1.74878,2.59776,1.71443,0.000889439,0.000889439,0.000889439
4,211.876,1.57361,2.24741,1.56335,0.3162,0.35698,0.28143,0.14071,1.70669,2.47665,1.67308,0.000882003,0.000882003,0.000882003
5,262.192,1.55804,2.12325,1.53637,0.27048,0.37992,0.28795,0.14452,1.64304,2.32176,1.59401,0.000873004,0.000873004,0.000873004
6,312.559,1.536,2.0462,1.52915,0.51017,0.35396,0.40123,0.20164,1.67023,2.12419,1.6165,0.000864004,0.000864004,0.000864004
7,363.037,1.53669,1.99711,1.51821,0.39169,0.3814,0.32114,0.14915,1.6926,2.12018,1.63929,0.000855005,0.000855005,0.000855005
8,606.82,1.4984,1.91425,1.48889,0.42671,0.36913,0.33606,0.17391,1.67274,2.25521,1.66138,0.000846006,0.000846006,0.000846006
9,795.721,1.44739,1.82231,1.45909,0.60622,0.43689,0.47559,0.24612,1.5676,1.83565,1.52816,0.000837007,0.000837007,0.000837007
10,923.46,1.42733,1.78267,1.44222,0.57802,0.40979,0.4663,0.2573,1.52058,1.80899,1.48587,0.000828008,0.000828008,0.000828008
11,974.382,1.40054,1.76839,1.43991,0.44992,0.44456,0.43531,0.23788,1.61327,1.89126,1.61671,0.000819009,0.000819009,0.000819009
12,1026.57,1.40121,1.69441,1.42636,0.4953,0.38932,0.42461,0.22866,1.55489,2.11512,1.51218,0.00081001,0.00081001,0.00081001
13,1077.47,1.41171,1.70822,1.42564,0.43164,0.45404,0.41096,0.24264,1.46932,1.8469,1.46154,0.000801011,0.000801011,0.000801011
14,1128.34,1.3824,1.61949,1.40635,0.47654,0.46831,0.45049,0.25803,1.51498,1.76693,1.47892,0.000792012,0.000792012,0.000792012
15,1179.24,1.35722,1.60621,1.40606,0.55808,0.44958,0.47284,0.25717,1.57044,1.67847,1.54537,0.000783013,0.000783013,0.000783013
16,1317.7,1.34893,1.59632,1.41303,0.55111,0.479,0.4817,0.26196,1.53646,1.7346,1.51056,0.000774013,0.000774013,0.000774013
17,1369.04,1.37618,1.59875,1.40517,0.51778,0.42065,0.40246,0.23027,1.46321,1.72119,1.43402,0.000765014,0.000765014,0.000765014
18,1419.81,1.32956,1.5471,1.38211,0.63548,0.40982,0.46929,0.27299,1.46649,1.66509,1.46818,0.000756015,0.000756015,0.000756015
19,1470.93,1.33089,1.52642,1.38653,0.63515,0.37608,0.46088,0.26891,1.46581,1.67512,1.43444,0.000747016,0.000747016,0.000747016
20,1522.08,1.34056,1.53049,1.37367,0.4688,0.46191,0.48354,0.28042,1.45177,1.71945,1.43101,0.000738017,0.000738017,0.000738017
21,1572.96,1.29661,1.50002,1.3597,0.62441,0.41259,0.4911,0.2897,1.4389,1.57181,1.44012,0.000729018,0.000729018,0.000729018
22,7974.15,1.30255,1.46192,1.36424,0.53111,0.45894,0.49899,0.2926,1.42752,1.51995,1.43886,0.000720019,0.000720019,0.000720019
23,8024.76,1.28529,1.4377,1.35035,0.51481,0.52776,0.53841,0.31936,1.39139,1.54152,1.40432,0.00071102,0.00071102,0.00071102
24,8072.81,1.30407,1.4664,1.35962,0.5097,0.46357,0.48135,0.27339,1.4642,1.66482,1.44859,0.000702021,0.000702021,0.000702021
25,8120.96,1.2781,1.40338,1.33453,0.56534,0.55271,0.54508,0.31472,1.4473,1.53332,1.43582,0.000693022,0.000693022,0.000693022
26,8169.57,1.28668,1.38586,1.34197,0.64467,0.46155,0.53839,0.30683,1.41596,1.4991,1.40125,0.000684022,0.000684022,0.000684022
27,8219.1,1.25807,1.38795,1.32348,0.4757,0.56495,0.53846,0.31766,1.39017,1.53225,1.413,0.000675023,0.000675023,0.000675023
28,8269.19,1.25212,1.37834,1.33217,0.60889,0.48283,0.53181,0.30907,1.44374,1.55978,1.42413,0.000666024,0.000666024,0.000666024
29,8319.1,1.2672,1.36679,1.32927,0.58773,0.47013,0.51704,0.30629,1.45484,1.56468,1.454,0.000657025,0.000657025,0.000657025
30,8368.01,1.25679,1.37335,1.33667,0.51812,0.45785,0.45704,0.28749,1.42572,1.66028,1.43318,0.000648026,0.000648026,0.000648026
31,8417,1.19963,1.30427,1.31694,0.56561,0.49628,0.49873,0.31052,1.42234,1.58962,1.4417,0.000639027,0.000639027,0.000639027
32,8466.21,1.23775,1.29133,1.30504,0.60584,0.43922,0.46706,0.29045,1.43852,1.6213,1.43234,0.000630028,0.000630028,0.000630028
33,8515.39,1.22159,1.30687,1.30588,0.45973,0.51908,0.48343,0.30574,1.44656,1.59907,1.42871,0.000621029,0.000621029,0.000621029
34,8564.77,1.22273,1.2733,1.30026,0.56321,0.42023,0.46727,0.29181,1.36947,1.52415,1.36878,0.00061203,0.00061203,0.00061203
35,8614.44,1.20006,1.2698,1.29386,0.59201,0.47439,0.5037,0.31759,1.42844,1.56061,1.42502,0.000603031,0.000603031,0.000603031
36,8663.4,1.18851,1.25971,1.29171,0.52578,0.46277,0.47331,0.29822,1.40075,1.55941,1.43155,0.000594031,0.000594031,0.000594031
37,8712.58,1.20576,1.25311,1.29625,0.61216,0.47957,0.52361,0.31539,1.43431,1.43447,1.4175,0.000585032,0.000585032,0.000585032
38,8759.61,1.20133,1.24211,1.28899,0.62394,0.5324,0.54636,0.3316,1.42367,1.4591,1.411,0.000576033,0.000576033,0.000576033
39,8809.64,1.18842,1.22842,1.28809,0.52524,0.53417,0.52958,0.32824,1.41182,1.4615,1.39711,0.000567034,0.000567034,0.000567034
40,8859.98,1.18355,1.19847,1.27388,0.60993,0.46377,0.51067,0.30797,1.40109,1.50105,1.41937,0.000558035,0.000558035,0.000558035
