epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8079,1.33429,30.3439,1.27879,0.00019,0.11591,0.00031,8e-05,1.88817,48.3694,1.74582,0.000414216,0.000414216,0.000414216
2,123.745,1.55406,27.1284,1.49688,0.00017,0.06818,0.00012,5e-05,2.29569,34.3393,1.91487,0.000748625,0.000748625,0.000748625
3,163.544,1.83604,20.2858,1.63943,3e-05,0.02273,2e-05,0,2.43523,24.2165,1.81725,0.00100053,0.00100053,0.00100053
4,203.423,1.78525,13.9255,1.57827,0.0003,0.06818,0.00059,0.00011,1.99554,15.9649,1.75403,0.00087875,0.00087875,0.00087875
5,244.007,1.74971,9.86842,1.53989,0.00066,0.04545,0.0004,6e-05,2.1078,17.7595,1.67721,0.000755,0.000755,0.000755
6,283.708,1.57357,7.51924,1.42951,0.00126,0.02273,0.00099,0.00047,2.20831,9.50799,1.73949,0.00063125,0.00063125,0.00063125
7,324.043,1.59384,6.18681,1.51942,0.00026,0.02273,0.0003,6e-05,2.5391,9.2949,4.87187,0.0005075,0.0005075,0.0005075
8,364.161,1.66924,5.48336,1.53744,0.00199,0.04545,0.00219,0.00058,2.22461,7.35807,1.83595,0.00038375,0.00038375,0.00038375
9,404.361,1.51839,4.99922,1.43459,0.00105,0.04545,0.00112,0.00058,2.08741,6.84128,1.72641,0.00026,0.00026,0.00026
10,444.201,1.36009,4.70345,1.29886,0.00201,0.09091,0.00304,0.00159,1.94548,6.59286,1.66828,0.00013625,0.00013625,0.00013625
