epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6106,1.94524,3.85029,1.85796,0.01012,0.31901,0.01544,0.00698,1.98007,4.02242,1.83417,0.00012221,0.00012221,0.00012221
2,36.8121,1.74069,3.73312,1.65828,0.00952,0.31813,0.02121,0.0086,2.00067,3.9755,1.85009,0.000253,0.000253,0.000253
3,49.8754,1.70332,3.40915,1.64375,0.0113,0.32263,0.02274,0.01071,1.84808,3.88229,1.67709,0.000381151,0.000381151,0.000381151
4,63.1959,1.74799,3.05414,1.68375,0.01334,0.37863,0.03375,0.0154,1.84881,3.72972,1.70833,0.000506662,0.000506662,0.000506662
5,76.3585,1.76146,2.95726,1.68931,0.67132,0.02507,0.03292,0.01507,1.94939,3.49719,1.77271,0.000629533,0.000629533,0.000629533
6,93.4316,1.72407,2.82345,1.67549,0.6734,0.03024,0.04178,0.01819,1.96267,3.31431,1.80445,0.000749764,0.000749764,0.000749764
7,106.463,1.75335,2.80994,1.72434,0.6849,0.0769,0.05896,0.0279,1.93206,3.09664,1.80158,0.000867355,0.000867355,0.000867355
8,119.585,1.74921,2.77701,1.71692,0.70841,0.10501,0.06441,0.03129,1.92944,2.99612,1.84185,0.000982307,0.000982307,0.000982307
9,132.863,1.62645,2.66334,1.65854,0.46187,0.10635,0.04054,0.01854,1.89974,3.17551,1.88133,0.00102301,0.00102301,0.00102301
10,146.144,1.71077,2.61101,1.67434,0.49068,0.10968,0.0591,0.02769,1.89567,3.08144,1.88765,0.00101201,0.00101201,0.00101201
11,159.512,1.66301,2.49036,1.67565,0.48474,0.13972,0.07433,0.03727,1.85369,3.26816,1.86392,0.00100101,0.00100101,0.00100101
12,172.782,1.80656,2.84849,1.75344,0.48765,0.17686,0.06736,0.0336,1.88463,3.54227,1.88703,0.000990012,0.000990012,0.000990012
13,185.854,1.71835,2.59863,1.71818,0.52766,0.12762,0.07223,0.03815,1.89192,3.37565,1.88394,0.000979013,0.000979013,0.000979013
14,198.891,1.70732,2.50112,1.63934,0.64286,0.13183,0.10744,0.05272,1.90753,2.92166,1.88169,0.000968014,0.000968014,0.000968014
15,211.986,1.70442,2.48972,1.67857,0.5589,0.17634,0.12678,0.06839,1.83439,2.92084,1.80907,0.000957015,0.000957015,0.000957015
16,225.009,1.70268,2.57959,1.67686,0.72242,0.14291,0.14642,0.08458,1.78353,2.76779,1.76738,0.000946016,0.000946016,0.000946016
17,237.991,1.66791,2.40455,1.65594,0.60449,0.18252,0.13375,0.07351,1.75145,2.75092,1.74508,0.000935018,0.000935018,0.000935018
18,250.903,1.65242,2.39883,1.64659,0.58992,0.1909,0.12861,0.0684,1.7638,2.64294,1.73597,0.000924019,0.000924019,0.000924019
19,263.924,1.61221,2.277,1.60546,0.55647,0.18789,0.14292,0.07257,1.82682,2.59693,1.75827,0.00091302,0.00091302,0.00091302
20,276.932,1.55902,2.33849,1.59643,0.60377,0.19068,0.14465,0.07738,1.77583,2.62293,1.72852,0.000902021,0.000902021,0.000902021
21,289.906,1.57584,2.45412,1.63124,0.6055,0.17019,0.14813,0.08575,1.7042,2.514,1.68827,0.000891022,0.000891022,0.000891022
22,302.893,1.62547,2.40249,1.65168,0.59614,0.1842,0.1639,0.09586,1.68476,2.47908,1.68328,0.000880023,0.000880023,0.000880023
23,315.892,1.61765,2.4534,1.61,0.61947,0.16436,0.17399,0.09661,1.69824,2.47452,1.70814,0.000869024,0.000869024,0.000869024
24,328.932,1.58338,2.2402,1.59204,0.62621,0.15525,0.16475,0.08914,1.7051,2.40324,1.70343,0.000858025,0.000858025,0.000858025
25,342.099,1.61512,2.32132,1.60747,0.56991,0.22496,0.21188,0.1164,1.59949,2.28081,1.60964,0.000847026,0.000847026,0.000847026
26,355.163,1.59775,2.27324,1.57047,0.6215,0.23131,0.22672,0.11835,1.61813,2.26068,1.62028,0.000836027,0.000836027,0.000836027
27,368.147,1.58142,2.28398,1.59958,0.65078,0.1667,0.21534,0.11741,1.60661,2.23408,1.62166,0.000825029,0.000825029,0.000825029
28,381.202,1.5597,2.27282,1.61827,0.70555,0.17318,0.22282,0.12599,1.58087,2.25214,1.61425,0.00081403,0.00081403,0.00081403
29,394.249,1.58864,2.23508,1.55996,0.80413,0.17415,0.22428,0.12896,1.55226,2.22364,1.59729,0.000803031,0.000803031,0.000803031
30,407.311,1.50851,2.18587,1.56728,0.63538,0.21819,0.22479,0.12453,1.55482,2.229,1.59875,0.000792032,0.000792032,0.000792032
31,420.467,1.57266,2.20242,1.59738,0.60541,0.19921,0.20073,0.11535,1.55823,2.45536,1.57666,0.000781033,0.000781033,0.000781033
32,433.543,1.54545,2.23293,1.57083,0.60905,0.19513,0.21487,0.12735,1.56561,2.40909,1.57784,0.000770034,0.000770034,0.000770034
33,446.743,1.5389,2.2288,1.55429,0.61511,0.23093,0.2376,0.13543,1.57197,2.33649,1.58122,0.000759035,0.000759035,0.000759035
34,459.868,1.58544,2.18448,1.57653,0.65656,0.24053,0.25239,0.15057,1.5548,2.24101,1.57369,0.000748036,0.000748036,0.000748036
35,472.884,1.4873,2.19855,1.56723,0.6755,0.21115,0.264,0.15159,1.51393,2.18955,1.55719,0.000737037,0.000737037,0.000737037
36,485.83,1.50585,2.12534,1.55074,0.60926,0.22829,0.26777,0.15324,1.49724,2.1245,1.5423,0.000726038,0.000726038,0.000726038
37,499.023,1.47489,2.07561,1.52672,0.55374,0.25518,0.27586,0.15569,1.48901,2.17296,1.5329,0.00071504,0.00071504,0.00071504
38,511.983,1.4789,2.1055,1.51177,0.4783,0.29863,0.27357,0.14616,1.49975,2.19679,1.53944,0.000704041,0.000704041,0.000704041
39,525.011,1.43612,1.95232,1.47567,0.54183,0.3243,0.30683,0.17564,1.47264,2.06597,1.4965,0.000693042,0.000693042,0.000693042
40,537.955,1.41643,1.92628,1.46242,0.54427,0.31365,0.31287,0.18536,1.43588,2.03245,1.47167,0.000682043,0.000682043,0.000682043
41,550.982,1.39599,2.13719,1.46539,0.57454,0.35714,0.34242,0.20275,1.44625,1.97239,1.46571,0.000671044,0.000671044,0.000671044
42,563.919,1.45845,2.04877,1.50848,0.59153,0.34103,0.34807,0.19815,1.46038,2.01605,1.47938,0.000660045,0.000660045,0.000660045
43,576.861,1.39395,2.10793,1.49199,0.68572,0.34591,0.35283,0.189,1.48078,2.09141,1.49968,0.000649046,0.000649046,0.000649046
44,589.825,1.40842,1.99484,1.4517,0.677,0.36076,0.36764,0.20185,1.46863,2.07679,1.49178,0.000638047,0.000638047,0.000638047
45,602.93,1.4359,2.01609,1.49304,0.61865,0.4108,0.38754,0.23268,1.44523,2.00491,1.48475,0.000627048,0.000627048,0.000627048
46,615.849,1.41597,2.03498,1.48864,0.57684,0.38988,0.38186,0.22869,1.43651,2.02066,1.48105,0.000616049,0.000616049,0.000616049
47,628.804,1.38406,1.97826,1.47335,0.61698,0.37043,0.37486,0.23579,1.36695,1.94181,1.44234,0.000605051,0.000605051,0.000605051
48,641.744,1.41181,1.93028,1.47983,0.68158,0.34264,0.37784,0.2414,1.34143,1.88545,1.4291,0.000594052,0.000594052,0.000594052
49,654.835,1.44796,1.9642,1.47676,0.55018,0.4493,0.38845,0.25112,1.3198,1.87598,1.4284,0.000583053,0.000583053,0.000583053
50,667.79,1.33777,1.83934,1.41984,0.57596,0.39077,0.39331,0.2523,1.34859,1.86599,1.44506,0.000572054,0.000572054,0.000572054
51,680.933,1.39374,1.82857,1.39583,0.63148,0.41827,0.42603,0.27495,1.38127,1.81079,1.46062,0.000561055,0.000561055,0.000561055
52,693.917,1.39413,1.79023,1.44714,0.66304,0.39125,0.43207,0.2772,1.38088,1.80675,1.45738,0.000550056,0.000550056,0.000550056
53,706.918,1.32398,1.75103,1.40986,0.64459,0.41741,0.43356,0.27592,1.37055,1.82201,1.44003,0.000539057,0.000539057,0.000539057
54,719.864,1.39104,1.83712,1.46919,0.58359,0.43765,0.42801,0.27491,1.37351,1.81827,1.43906,0.000528058,0.000528058,0.000528058
55,732.944,1.40512,1.78568,1.41539,0.65836,0.4176,0.43232,0.26624,1.35614,1.81795,1.4254,0.000517059,0.000517059,0.000517059
56,746.103,1.35958,1.80235,1.43508,0.64496,0.38869,0.42864,0.26611,1.33961,1.80748,1.41449,0.00050606,0.00050606,0.00050606
57,775.435,1.36306,1.73441,1.39387,0.6548,0.41144,0.46013,0.2951,1.30688,1.78773,1.40186,0.000495062,0.000495062,0.000495062
58,809.685,1.30432,1.86812,1.45604,0.66375,0.39763,0.48967,0.31965,1.29824,1.80001,1.4069,0.000484063,0.000484063,0.000484063
59,843.971,1.36817,1.87528,1.44857,0.61623,0.48833,0.48732,0.31541,1.26635,1.75202,1.39045,0.000473064,0.000473064,0.000473064
60,878.447,1.28537,1.78024,1.41254,0.64046,0.48463,0.49143,0.31665,1.24545,1.71746,1.37973,0.000462065,0.000462065,0.000462065
61,912.712,1.31721,1.75876,1.4455,0.44274,0.59561,0.489,0.32526,1.24146,1.67824,1.37205,0.000451066,0.000451066,0.000451066
62,947.442,1.21815,1.56116,1.35039,0.4906,0.5938,0.49273,0.32611,1.2364,1.68191,1.36172,0.000440067,0.000440067,0.000440067
63,981.924,1.26738,1.6642,1.38656,0.49933,0.48186,0.46915,0.31277,1.23052,1.63667,1.34544,0.000429068,0.000429068,0.000429068
