epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.874,0.84663,2.11716,1.39421,0.65399,0.26725,0.256,0.20275,1.90839,3.34686,1.99303,0.000368363,0.000368363,0.000368363
2,204.834,0.76024,1.42949,1.31398,0.5821,0.24846,0.23956,0.19219,2.22623,3.76945,2.36527,0.000724071,0.000724071,0.000724071
3,245.462,0.71528,1.2637,1.28672,0.35186,0.25101,0.23003,0.1776,2.30217,3.59053,2.35882,0.00106511,0.00106511,0.00106511
4,285.493,0.73713,1.18605,1.29967,0.39233,0.29846,0.24562,0.19747,2.09236,3.00313,2.18622,0.00104501,0.00104501,0.00104501
5,325.464,0.7113,1.079,1.27173,0.64202,0.27949,0.26211,0.20604,2.05405,2.81656,2.21101,0.00102301,0.00102301,0.00102301
6,365.445,0.67085,0.99527,1.2482,0.40925,0.30825,0.27932,0.20612,2.09002,2.77838,2.14426,0.00100101,0.00100101,0.00100101
7,406.027,0.61842,0.91105,1.21079,0.59863,0.31779,0.30277,0.22271,1.94835,2.63457,1.97868,0.000979013,0.000979013,0.000979013
8,447.151,0.63418,0.90492,1.22219,0.40044,0.30774,0.28364,0.21452,2.00867,2.77463,2.083,0.000957015,0.000957015,0.000957015
9,488.298,0.61883,0.85055,1.20217,0.46835,0.31997,0.27401,0.21068,1.99206,2.6502,2.01037,0.000935018,0.000935018,0.000935018
10,529.619,0.62407,0.86414,1.21729,0.73741,0.28977,0.3029,0.23171,1.96626,2.52315,1.96453,0.00091302,0.00091302,0.00091302
11,571.117,0.60283,0.82879,1.19895,0.64919,0.31749,0.32602,0.24413,1.92353,2.58517,1.93716,0.000891022,0.000891022,0.000891022
12,745.33,0.59437,0.82761,1.18962,0.51488,0.30639,0.30238,0.23321,1.88463,2.70931,1.9506,0.000869024,0.000869024,0.000869024
13,784.891,0.5786,0.79072,1.18963,0.63051,0.30726,0.32397,0.24761,1.9066,2.68486,1.87189,0.000847026,0.000847026,0.000847026
14,825.05,0.57252,0.76463,1.19113,0.48836,0.31276,0.30286,0.23307,1.86532,2.58598,1.85051,0.000825029,0.000825029,0.000825029
