epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1519,1.59017,3.14486,1.57626,0.43495,0.31491,0.17975,0.08946,1.74312,3.72126,1.64603,0.000301405,0.000301405,0.000301405
2,76.8777,1.59488,2.45898,1.54839,0.29718,0.24424,0.24951,0.11659,1.75939,2.83921,1.67572,0.000592438,0.000592438,0.000592438
3,112.865,1.61035,2.34062,1.57161,0.28469,0.26144,0.26574,0.13674,1.66443,2.76084,1.58962,0.000871472,0.000871472,0.000871472
4,148.77,1.56265,2.25068,1.57264,0.26558,0.44343,0.28519,0.13243,1.65265,2.39052,1.62459,0.000855005,0.000855005,0.000855005
5,185.311,1.53477,2.08354,1.52333,0.30301,0.35447,0.31487,0.14851,1.72546,2.24926,1.65872,0.000837007,0.000837007,0.000837007
6,222.274,1.50818,2.01547,1.51905,0.54619,0.35923,0.36287,0.18717,1.58261,2.17761,1.53503,0.000819009,0.000819009,0.000819009
7,259.315,1.5073,1.93938,1.48764,0.3803,0.39116,0.3462,0.18434,1.5963,2.06677,1.57667,0.000801011,0.000801011,0.000801011
8,296.768,1.48622,1.88324,1.4739,0.45686,0.44784,0.37352,0.18365,1.59753,2.05189,1.56195,0.000783013,0.000783013,0.000783013
9,334.305,1.44548,1.78953,1.45567,0.43343,0.40045,0.37659,0.21273,1.60883,2.02878,1.57162,0.000765014,0.000765014,0.000765014
10,379.983,1.40453,1.77653,1.43587,0.42456,0.47324,0.43238,0.2129,1.63657,1.92967,1.62017,0.000747016,0.000747016,0.000747016
11,431.696,1.39256,1.74468,1.43276,0.58565,0.41054,0.46687,0.25362,1.52862,1.77503,1.51295,0.000729018,0.000729018,0.000729018
12,485.09,1.38852,1.68177,1.40681,0.52524,0.49794,0.4509,0.24106,1.52517,1.87388,1.53423,0.00071102,0.00071102,0.00071102
