epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1056,1.94524,3.85029,1.85796,0.01012,0.31901,0.01544,0.00698,1.98007,4.02242,1.83417,0.00012221,0.00012221,0.00012221
2,13.7313,1.74293,3.73366,1.65919,0.00892,0.31232,0.02144,0.00921,2.02776,3.98307,1.86784,0.000250471,0.000250471,0.000250471
3,17.4324,1.70899,3.41281,1.64826,0.01157,0.37472,0.02505,0.01089,1.80676,3.89524,1.66993,0.000373452,0.000373452,0.000373452
4,20.9411,1.7538,3.06839,1.68547,0.0143,0.41487,0.03172,0.01309,1.85575,3.774,1.72146,0.000491153,0.000491153,0.000491153
5,24.6348,1.73882,2.99025,1.6685,0.01822,0.46974,0.03483,0.01646,1.90033,3.47085,1.72903,0.000603575,0.000603575,0.000603575
6,28.2684,1.70063,2.87683,1.66233,0.48377,0.07095,0.05019,0.02289,1.88656,3.31543,1.74202,0.000710718,0.000710718,0.000710718
7,32.0303,1.74989,2.83998,1.71722,0.71023,0.07392,0.06602,0.0318,1.85615,3.06734,1.74742,0.000812581,0.000812581,0.000812581
8,36.2382,1.77426,2.74554,1.72889,0.70284,0.10541,0.07575,0.03537,1.85326,2.99345,1.78957,0.000909165,0.000909165,0.000909165
9,40.2379,1.64873,2.6864,1.66725,0.48115,0.14686,0.08463,0.04294,1.83743,2.87142,1.80127,0.000935018,0.000935018,0.000935018
10,43.9783,1.72622,2.62336,1.69156,0.69155,0.13877,0.09921,0.05335,1.85318,2.79993,1.83339,0.00091302,0.00091302,0.00091302
11,47.9338,1.64701,2.51585,1.65457,0.66336,0.18235,0.12178,0.06709,1.80592,2.69142,1.78709,0.000891022,0.000891022,0.000891022
12,52.1897,1.75479,2.80052,1.69232,0.60191,0.16646,0.11074,0.06153,1.78733,2.82387,1.77115,0.000869024,0.000869024,0.000869024
13,55.8113,1.73307,2.62674,1.7088,0.53707,0.19254,0.09207,0.04733,1.78823,2.77342,1.74544,0.000847026,0.000847026,0.000847026
14,59.4921,1.67782,2.44702,1.60938,0.54082,0.16361,0.10732,0.05758,1.76937,2.61347,1.7353,0.000825029,0.000825029,0.000825029
15,63.4911,1.68486,2.47674,1.65248,0.64942,0.17094,0.14665,0.08627,1.68004,2.67409,1.66802,0.000803031,0.000803031,0.000803031
16,67.2091,1.67134,2.55565,1.65382,0.78114,0.14027,0.15801,0.09295,1.65416,2.57986,1.6572,0.000781033,0.000781033,0.000781033
17,71.0657,1.65338,2.39583,1.63662,0.73376,0.16159,0.15359,0.0869,1.62732,2.62185,1.62498,0.000759035,0.000759035,0.000759035
18,74.8174,1.62585,2.35214,1.60603,0.6944,0.13846,0.13597,0.07922,1.62602,2.57476,1.62287,0.000737037,0.000737037,0.000737037
19,78.5538,1.5779,2.25937,1.56644,0.55052,0.1449,0.10771,0.06329,1.64929,2.68228,1.64933,0.00071504,0.00071504,0.00071504
20,82.3348,1.54464,2.29156,1.56029,0.6468,0.1213,0.1152,0.06948,1.67566,2.63412,1.65656,0.000693042,0.000693042,0.000693042
21,86.0122,1.57439,2.41681,1.60817,0.59137,0.14407,0.1368,0.08148,1.70756,2.54947,1.65311,0.000671044,0.000671044,0.000671044
22,89.7373,1.60962,2.35938,1.61213,0.60239,0.18181,0.16276,0.09662,1.6826,2.46515,1.62682,0.000649046,0.000649046,0.000649046
23,93.7292,1.62504,2.38872,1.58699,0.69518,0.2257,0.19703,0.1192,1.6385,2.48407,1.6007,0.000627048,0.000627048,0.000627048
