epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.589,0.97103,2.74867,1.57766,0.50952,0.22266,0.22683,0.1854,2.0741,4.42301,2.21911,0.000368363,0.000368363,0.000368363
2,264.086,0.85676,1.95486,1.48791,0.64697,0.28413,0.2708,0.20789,1.88823,3.16628,1.94153,0.000665566,0.000665566,0.000665566
3,303.62,0.83593,1.56159,1.4682,0.75479,0.2608,0.2787,0.21534,1.94535,2.9391,1.97041,0.000889442,0.000889442,0.000889442
4,344.515,0.79805,1.30141,1.43229,0.42358,0.29112,0.26659,0.20582,1.9883,2.88603,1.98002,0.000781033,0.000781033,0.000781033
5,388.953,0.74491,1.20621,1.41661,0.60612,0.29753,0.29374,0.22354,1.90586,2.80222,1.97381,0.000671044,0.000671044,0.000671044
6,432.419,0.70731,1.05163,1.36055,0.43202,0.28649,0.29717,0.2272,1.88939,2.66549,1.87649,0.000561055,0.000561055,0.000561055
7,474.15,0.68625,0.96692,1.33995,0.63919,0.3059,0.30329,0.22936,1.87428,2.51028,1.8196,0.000451066,0.000451066,0.000451066
8,515.84,0.6574,0.88341,1.31638,0.54592,0.30896,0.31297,0.23759,1.77318,2.46981,1.76771,0.000341077,0.000341077,0.000341077
9,557.43,0.61787,0.82838,1.29332,0.54374,0.32421,0.33329,0.2592,1.74821,2.46619,1.72225,0.000231088,0.000231088,0.000231088
10,600.47,0.58585,0.76927,1.26553,0.56332,0.32998,0.335,0.25705,1.69398,2.42728,1.68248,0.000121099,0.000121099,0.000121099
